"Company Name","Contact Link / Path","Country","Website / Public Source","Problem Noticed","Why They May Need Your Service","Priority Score","Public Signal"
"Kontakt.io","Company contact or careers page","Poland / EU","https://jobs.lever.co/kontakt/5d5dec4c-82b0-4402-8964-90ebcedbe52c","RevOps role references Salesforce, HubSpot, Gong, Zapier, 6sense, REST APIs, and webhooks.","They may need CRM dashboards, integration cleanup, and workflow reliability support for lead-to-cash operations.","11","CRM/API/webhook stack"
"Tali AI","Company contact or careers page","Canada / North America","https://jobs.lever.co/11855760-canada-inc/73357f5c-e8a3-4055-8a8c-ed828e9f42bc","GTM Ops role references Clay to HubSpot, Zapier workflows, data hygiene, dedupe, and dashboards.","They may need dashboard cleanup, CRM data quality work, and automation support for GTM reporting.","11","HubSpot/Zapier/data hygiene"
"Axial","Company contact or careers page","United States","https://job-boards.greenhouse.io/axial/jobs/5116152008","GTM Engineer role references n8n, Clay, Zapier, Google Apps Script, Salesforce/HubSpot, and reporting automation.","They may need CRM routing, reporting automation, and internal workflow prototypes.","10","n8n/Zapier/CRM automation"
"Sprinto","Company contact or careers page","India / Global","https://jobs.lever.co/Sprinto/38d15d77-39b1-474e-8bc1-c11a2f738fdf","GTM Engineer role references Clay, Apollo, Make, n8n, Zapier, and AI workflows.","They may need AI workflow setup, GTM dashboarding, and sales automation support.","10","Make/n8n/Zapier/AI workflows"
"Tatari","Company contact or careers page","United States","https://job-boards.greenhouse.io/tatari/jobs/8479069002","RevOps role references debugging workflows across HubSpot, Zapier, and n8n.","They may need workflow debugging, CRM automation maintenance, and dashboard visibility.","10","HubSpot/Zapier/n8n debugging"
"Quantum Workplace","Company contact or careers page","United States","https://jobs.lever.co/QuantumWorkplace/994e56ec-e8ef-4294-ad78-0fc55205b3be","AI Operations Engineer role references Zapier, n8n, Make, HubSpot, Salesforce, Marketo, REST APIs, and SQL.","They may need AI workflow operations, API integrations, and management reporting dashboards.","10","AI ops/API/CRM stack"
"Starburst","Company contact or careers page","United States / Global","https://job-boards.greenhouse.io/starburst/jobs/4919176008","Growth Hacker AI & Automation role references Clay, n8n, Zapier, HubSpot, and Apollo.","They may need growth workflow automation, CRM dashboards, and campaign ops prototypes.","9","Growth automation stack"
"Pearl Talent","Company contact or careers page","Remote / Global","https://jobs.workable.com/view/hyrhCNVvTaTTNnAJdEXHmn/remote-growth-%26-outbound-operations-specialist---a306-in-cape-town-at-pearl","Growth operations role references HubSpot, Close, Pipedrive, Zapier, Notion, and outbound automation.","They may need CRM/outbound workflow support, dashboard cleanup, and web tool integration.","9","CRM/outbound automation"
"Assist World","Company contact or careers page","Remote / Health/Fitness","https://jobs.lever.co/assist-world/913e5171-70f1-46e4-b19a-cedf5edb7600","Digital role references ChatGPT API, Make, Zapier, Google Sheets, Notion, and HubSpot.","They may need AI workflow builds, Google Sheets automation, and lightweight dashboards.","8","ChatGPT API/Make/Zapier"
"Turing","Company contact or careers page","United States / Global","https://job-boards.greenhouse.io/turing/jobs/5697163004","Process Optimization Partner role references Zapier, Workato, Power Automate, HRIS, and HubSpot.","They may need process automation audits, internal tools, and integration dashboards.","7","Process automation/HubSpot"
