"Company / Buyer","Direct Contact Detail","Country","Best-Fit Service","Problem Noticed","Why It Fits Yash Portfolio","Budget Signal","Recommended Outreach Angle","Priority Score","Public Source"
"IBM WebMethods API Automation buyer","Freelancer project page: https://www.freelancer.com/projects/api-developmet/IBM-WebMethods-API-Automation/details","Platform lead - verify buyer profile before bidding","API automation, cloud setup, workflow maintenance","Buyer explicitly posted an API automation project around IBM WebMethods and integration work.","Matches Yash portfolio items around web tools, cloud setup, API/workflow builds, and maintenance.","Paid project signal; budget visible on Freelancer project page","Lead with API/integration audit, then propose a small fixed-scope automation rescue or implementation sprint.","9","Public Freelancer project post"
"Power Automate Email Classifier Flow buyer","Freelancer project page: https://www.freelancer.com/projects/power-automate/Power-Automate-Email-Classifier-Flow/details","Platform lead - verify buyer profile before bidding","AI/workflow build, email automation, business process tool","Buyer needs an email classifier flow, which suggests manual inbox routing and automation gaps.","Direct fit for AI/workflow-related builds and internal web tools.","Paid project signal; automation-specific demand","Offer a quick flow map, test cases, and handoff docs with no mailbox password required.","9","Public Freelancer project post"
"Email Quote Outlook Automation buyer","Freelancer project page: https://www.freelancer.com/projects/ai-development/Email-Quote-Outlook-Automation/details","Platform lead - verify buyer profile before bidding","Outlook automation, AI workflow, quote generation","Buyer wants email-to-quote automation, likely replacing manual quoting and follow-up work.","Strong fit for AI/workflow builds, CRM dashboard follow-up, and web tool delivery.","Paid project signal; business automation ROI is clear","Ask for sanitized sample email formats and desired quote fields; propose staged delivery.","9","Public Freelancer project post"
"WordPress Amrod API Integration buyer","Freelancer project page: https://www.freelancer.com/projects/api-integration/WordPress-Developer-for-Amrod-API/details","Platform lead - verify buyer profile before bidding","Premium website, API integration, maintenance","Buyer needs WordPress connected to an external product/API provider, which creates integration and maintenance risk.","Direct fit for premium websites, web tools, cloud/API setup, and ongoing maintenance.","Paid project signal; API integration buyer","Offer a fixed first milestone: inspect API docs, map product fields, build one verified sync path.","8","Public Freelancer project post"
"Ongoing Zapier Automation Management buyer","Freelancer project page: https://www.freelancer.com/projects/zapier/ongoing-zapier-automation-management","Platform lead - verify buyer profile before bidding","Zapier automation, workflow maintenance, CRM routing","The project title indicates recurring automation management rather than a one-off task.","Matches workflow maintenance, AI/workflow builds, and CRM operations support.","Ongoing management signal; potential recurring revenue","Position as a monthly workflow health check plus bug-fix retainer.","8","Public Freelancer project post"
"Construction Expense & Ledger Platform buyer","Freelancer search/project card: search title on Freelancer: Construction Expense & Ledger Platform","Platform lead - verify buyer profile before bidding","Custom web tool, dashboards, mobile/web app, cost control","Buyer is building a unified cost-control and ledger platform across web and mobile.","Strong fit for web tools, dashboards, premium app UI, and cloud setup support.","Visible card budget: 37,500-75,000 INR","Lead with a simple dashboard/module prototype offer and staged delivery.","8","Public Freelancer project card observed in search results"
"ScaleOps","Public contact: nelly@scaleops.co / https://www.scaleops.co/","Israel / global","White-label CRM dashboard, landing page, workflow build support","Public site sells RevOps, HubSpot, Salesforce, Make, Zapier and custom API implementation.","Potential subcontract/partner lead for Yash's CRM dashboards, web tools, cloud setup, and workflow builds.","Agency/service provider with paid RevOps delivery model","Pitch white-label frontend/dashboard support for overflow client work, not generic lead-gen.","7","Public website text and contact details"
"RevOps Connect","Contact/demo path: https://www.revopsconnect.io/","US / remote","HubSpot integration, custom backend, dashboard UI","Public site positions managed HubSpot integrations, webhooks, retry logic, and monitoring.","Potential partner/subcontract lead for dashboards, support portals, landing pages, and implementation overflow.","Public pricing signal around annual integration subscriptions","Pitch small UI/dashboard or landing-page support around integration proposal workflows.","7","Public website/pricing/contact page"
"FixOps","Book/contact path: https://fixops.io/","US","HubSpot audit UI, AI workflow, dashboard/reporting support","Public site focuses on broken HubSpot workflows, ghost seats, audit dashboards, and AI readiness.","Potential partner lead for CRM dashboard/report UX, workflow rebuild support, and landing page optimization.","Public SaaS pricing and 'Fix It For Me' service signal","Pitch a narrow audit-report UI or workflow-fix delivery support offer.","7","Public website/contact path"
"RevOps One","Schedule/contact path: https://www.revopsone.co/","US / remote","CRM audit, RevOps automation, landing page/portfolio support","Public site lists HubSpot, Salesforce, Apollo, Zapier, Make, ChatGPT and CRM management services.","Potential subcontract lead for CRM dashboards, workflow prototypes, web tools, and cloud setup.","Consulting/service business with clear B2B RevOps offer","Pitch as reliable implementation support for overflow RevOps and workflow build tasks.","7","Public website/contact path"
